,beat_pitch
0,"[[(1, 73), (2, 69), (3, 71), (4, 72), (5, 76), (7, 77), (8, 76), (9, 74), (11, 72)], [(1, 73), (2, 74), (3, 79), (4, 77), (5, 70), (7, 69), (9, 65), (11, 64), (12, 62)], [(1, 73), (3, 73), (4, 74), (5, 76), (7, 79), (9, 76), (11, 72)], [(1, 73), (3, 74), (5, 74), (7, 73), (9, 73), (11, 69)], [(1, 73), (3, 71), (4, 71), (5, 72), (7, 76), (8, 79), (9, 81), (11, 82)], [(1, 73), (2, 71), (3, 72), (4, 76), (5, 76), (7, 71), (8, 72), (9, 74)], [(1, 73), (2, 69), (3, 67), (4, 69), (5, 71), (9, 69)], [(1, 73), (2, 74), (3, 73), (4, 74), (5, 76), (7, 80), (9, 80)]]"
1,"[[(1, 72), (3, 72), (4, 71), (5, 74), (6, 72), (7, 71), (8, 69), (9, 71), (11, 69), (12, 68)], [(1, 72), (2, 69), (3, 74), (4, 76), (5, 77), (7, 74), (9, 74), (11, 78), (12, 76)], [(1, 72), (2, 71), (3, 68), (4, 71), (5, 69), (7, 65), (8, 62), (9, 60), (10, 59), (11, 60)], [(1, 72), (2, 71), (3, 69), (4, 68), (5, 69), (7, 69), (8, 67), (9, 69)], [(1, 72), (2, 70), (3, 72), (4, 71), (5, 69), (7, 71), (8, 67), (9, 69)], [(1, 72), (2, 71), (3, 68), (4, 71), (5, 72), (7, 76), (8, 75), (9, 74)], [(1, 72), (2, 74), (3, 76), (4, 74), (5, 71), (7, 72), (8, 74), (9, 75)], [(1, 72), (3, 57), (4, 61), (5, 64), (7, 64), (8, 62), (9, 71)]]"
2,"[[(1, 74), (2, 70), (3, 69), (5, 71), (6, 69), (7, 66), (9, 64), (10, 65), (11, 63), (12, 62)], [(1, 74), (3, 79), (5, 71), (6, 69), (7, 70), (9, 77), (11, 74), (12, 65)], [(1, 74), (3, 75), (4, 72), (5, 76), (6, 74), (7, 72), (9, 74), (11, 76)], [(1, 74), (3, 74), (5, 72), (6, 71), (7, 69), (8, 72), (9, 71), (11, 67)], [(1, 74), (3, 69), (4, 66), (5, 67), (6, 66), (7, 69), (8, 67), (9, 66)], [(1, 74), (3, 77), (4, 76), (5, 76), (6, 74), (7, 77), (9, 76)], [(1, 74), (3, 78), (4, 79), (5, 74), (7, 69), (9, 71)], [(1, 74), (3, 62), (4, 60), (5, 68), (6, 69), (7, 70), (8, 72), (9, 74)]]"
3,"[[(1, 69), (4, 66), (5, 67), (6, 69), (7, 70), (9, 67), (10, 65), (11, 69), (12, 67)], [(1, 69), (4, 74), (5, 76), (6, 74), (7, 76), (8, 74), (9, 70), (11, 75), (12, 72)], [(1, 69), (2, 71), (3, 73), (4, 74), (5, 71), (6, 67), (7, 71), (8, 67), (9, 66), (11, 62), (12, 60)], [(1, 69), (3, 71), (4, 72), (5, 70), (6, 74), (7, 77), (8, 81), (9, 79)], [(1, 69), (2, 73), (3, 76), (4, 79), (5, 81), (6, 79), (7, 77), (8, 76), (9, 74)], [(1, 69), (3, 66), (4, 67), (5, 69), (7, 71), (8, 72), (9, 74)], [(1, 69), (3, 69), (4, 66), (5, 65), (6, 64), (7, 61), (8, 69), (9, 71), (12, 72)], [(1, 69), (3, 77), (4, 74), (5, 72), (7, 71), (8, 74), (9, 70), (11, 69), (12, 66)]]"
4,"[[(1, 73), (3, 71), (4, 73), (5, 74), (9, 62)], [(1, 73), (3, 71), (4, 73), (5, 74), (7, 69), (9, 71), (11, 72)], [(1, 73), (2, 71), (3, 69), (4, 66), (5, 67), (7, 72), (8, 71), (9, 72), (11, 71)], [(1, 73), (2, 71), (3, 67), (4, 66), (5, 67), (6, 69), (7, 71), (8, 72), (9, 74), (11, 76)], [(1, 73), (2, 71), (3, 72), (4, 74), (5, 76), (6, 77), (7, 76), (8, 77), (9, 76), (11, 74)], [(1, 73), (3, 72), (5, 69), (6, 70), (7, 69), (8, 73), (9, 71), (11, 67), (12, 69)], [(1, 73), (3, 71), (4, 73), (5, 74), (6, 72), (7, 70), (8, 72), (9, 74), (11, 76), (12, 78)], [(1, 73), (2, 71), (3, 73), (4, 74), (5, 76), (6, 74), (7, 73), (9, 71), (10, 73), (11, 71), (12, 67)]]"
5,"[[(1, 70), (2, 65), (3, 64), (5, 64), (7, 66), (8, 67), (9, 69), (11, 71)], [(1, 70), (2, 74), (3, 72), (4, 69), (5, 70), (7, 69), (8, 71), (9, 67), (11, 71)], [(1, 70), (2, 69), (3, 70), (4, 72), (5, 72), (7, 72), (9, 74), (11, 76), (12, 73)], [(1, 70), (3, 69), (4, 65), (5, 62), (7, 64), (9, 65), (11, 64), (12, 62)], [(1, 70), (2, 69), (3, 71), (4, 72), (5, 72), (9, 70), (11, 69), (12, 71)], [(1, 70), (2, 69), (3, 64), (4, 66), (5, 67), (7, 69), (8, 62), (9, 71), (11, 69), (12, 65)], [(1, 70), (2, 72), (3, 74), (4, 71), (5, 72), (6, 71), (7, 69), (9, 66), (11, 65), (12, 64)], [(1, 70), (2, 74), (3, 73), (4, 74), (5, 73), (6, 74), (7, 76), (8, 77), (9, 76)]]"
6,"[[(1, 65), (3, 64), (4, 66), (5, 67), (6, 66), (7, 67), (9, 65)], [(1, 65), (3, 64), (4, 66), (5, 67), (6, 69), (7, 66), (8, 67), (9, 69), (10, 73)], [(1, 65), (3, 65), (5, 69), (6, 68), (7, 69), (8, 67), (9, 69)], [(1, 65), (2, 72), (3, 79), (5, 81), (7, 76), (8, 77), (9, 79)], [(1, 65), (2, 67), (3, 64), (4, 69), (5, 70), (7, 70), (8, 74), (9, 72), (11, 71)], [(1, 65), (3, 69), (4, 66), (5, 67), (7, 69), (8, 72), (9, 69)], [(1, 65), (3, 69), (4, 66), (5, 67), (7, 71), (8, 72), (9, 77)], [(1, 65), (3, 69), (4, 71), (5, 72), (6, 71), (7, 72), (8, 70), (9, 62)]]"
7,"[[(1, 81), (2, 84), (3, 81), (5, 64), (7, 81), (8, 77), (9, 74)], [(1, 81), (2, 79), (3, 78), (4, 76), (5, 74), (7, 73), (8, 76), (9, 74), (12, 72)], [(1, 81), (2, 79), (3, 77), (4, 76), (5, 74), (7, 83), (9, 86)], [(1, 81), (3, 77), (4, 76), (5, 76), (7, 79), (9, 78)], [(1, 81), (3, 79), (4, 77), (5, 76), (6, 74), (7, 72), (9, 74)], [(1, 81), (3, 78), (4, 81), (5, 76), (6, 74), (7, 71), (8, 69), (9, 71)], [(1, 81), (3, 81), (4, 79), (5, 83), (7, 79), (8, 78), (9, 74)], [(1, 81), (2, 79), (3, 81), (4, 80), (5, 81), (7, 79), (8, 76), (9, 74), (10, 77)]]"
8,"[[(1, 66), (3, 64), (5, 62), (6, 65), (7, 64), (9, 67)], [(1, 66), (3, 69), (4, 72), (5, 72), (6, 71), (7, 69), (8, 72), (9, 71)], [(1, 66), (3, 64), (4, 65), (5, 64), (6, 62), (7, 69), (8, 67), (9, 66)], [(1, 66), (2, 67), (3, 72), (4, 76), (5, 74), (6, 72), (7, 79), (8, 74), (9, 74), (11, 73), (12, 69)], [(1, 66), (2, 64), (3, 62), (5, 66), (6, 64), (7, 67), (9, 67), (11, 66), (12, 62)], [(1, 66), (2, 62), (3, 67), (4, 71), (5, 76), (6, 77), (7, 79), (9, 79), (11, 78), (12, 79)], [(1, 66), (2, 67), (3, 71), (5, 71), (6, 67), (7, 71), (9, 72), (11, 74)], [(1, 66), (2, 67), (3, 66), (4, 67), (5, 69), (6, 71), (7, 74), (8, 72), (9, 72), (11, 69), (12, 67)]]"
9,"[[(1, 69), (3, 81), (4, 79), (5, 74), (7, 74), (8, 65), (9, 69), (11, 67), (12, 70)], [(1, 69), (3, 69), (5, 57), (7, 77), (9, 76), (11, 80), (12, 82)], [(1, 69), (3, 67), (4, 71), (5, 67), (7, 83), (9, 81), (11, 78), (12, 74)], [(1, 69), (3, 81), (5, 81), (7, 81), (8, 79), (9, 62), (11, 78), (12, 69)], [(1, 69), (2, 71), (3, 72), (4, 70), (5, 74), (7, 79), (8, 81), (9, 78), (11, 81), (12, 83)], [(1, 69), (2, 71), (3, 74), (4, 72), (5, 74), (7, 74), (8, 71), (9, 67)], [(1, 69), (3, 72), (4, 71), (5, 69), (7, 67), (8, 65), (9, 58), (11, 55)], [(1, 69), (3, 73), (4, 76), (5, 81), (7, 79), (8, 82), (9, 81)]]"
10,"[[(1, 77), (3, 70), (5, 70), (6, 69), (7, 70), (8, 72), (9, 71), (11, 76)], [(1, 77), (3, 77), (4, 76), (5, 81), (6, 79), (7, 77), (8, 79), (9, 81), (11, 79), (12, 74)], [(1, 77), (3, 76), (4, 74), (5, 76), (6, 72), (7, 76), (8, 77), (9, 79)], [(1, 77), (3, 76), (4, 74), (5, 76), (7, 76), (9, 76)], [(1, 77), (2, 76), (3, 74), (4, 76), (5, 74), (6, 76), (7, 77), (9, 76)], [(1, 77), (3, 81), (4, 78), (5, 79), (7, 63), (9, 60)], [(1, 77), (3, 76), (4, 72), (5, 74), (7, 69), (8, 67), (9, 66)], [(1, 77), (3, 77), (4, 74), (5, 71), (7, 74), (8, 71), (9, 71), (11, 69), (12, 72)]]"
11,"[[(1, 83), (3, 81), (5, 79), (9, 79), (11, 81)], [(1, 83), (3, 83), (5, 81), (9, 74)], [(1, 83), (3, 83), (5, 78), (7, 74), (9, 71)], [(1, 83), (3, 79), (5, 77), (7, 76), (9, 76), (11, 67), (12, 65)], [(1, 83), (2, 79), (3, 77), (5, 76), (7, 77), (8, 79), (9, 77), (11, 81), (12, 77)], [(1, 83), (2, 81), (3, 82), (4, 79), (5, 83), (7, 79), (8, 69), (9, 67), (11, 70), (12, 69)], [(1, 83), (2, 81), (3, 76), (4, 77), (5, 79), (7, 79), (8, 77), (9, 79), (11, 77), (12, 76)], [(1, 83), (2, 81), (3, 79), (4, 77), (5, 74), (7, 76), (8, 78), (9, 76), (11, 73), (12, 74)]]"
12,"[[(1, 79), (3, 83), (4, 81), (5, 79), (7, 79), (8, 74), (9, 73), (11, 70)], [(1, 79), (2, 77), (3, 76), (4, 77), (5, 77), (7, 69), (8, 71), (9, 72), (11, 74), (12, 72)], [(1, 79), (2, 76), (3, 72), (4, 73), (5, 74), (7, 79), (9, 76), (11, 71)], [(1, 79), (2, 78), (3, 76), (4, 77), (5, 79), (9, 78), (11, 74), (12, 70)], [(1, 79), (2, 81), (3, 80), (4, 79), (5, 77), (7, 74), (9, 76), (11, 72), (12, 71)], [(1, 79), (2, 81), (3, 79), (4, 77), (5, 79), (7, 82), (9, 81), (10, 83), (11, 81), (12, 79)], [(1, 79), (3, 76), (4, 73), (5, 74), (6, 72), (7, 69), (8, 72), (9, 69), (10, 72), (11, 70), (12, 67)], [(1, 79), (3, 83), (4, 79), (5, 77), (6, 76), (7, 77), (9, 82), (11, 81), (12, 83)]]"
