id,beats,pitches,tuple_beat_and_pitch,midi
7,"[[1, 2, 3, 4, 5, 9, 11], [2, 3, 6, 7, 10], [1, 3, 4, 5, 7, 8, 9, 10], [1, 2, 3, 6, 7, 9, 11], [2, 3, 4, 5, 8, 9, 10, 11], [1, 3, 5, 8], [1, 2, 3, 6, 9], [1, 3, 6, 8, 11]]","[[65, 67, 72, 65, 60, 62, 64], [62, 72, 69, 64, 65], [65, 65, 64, 60, 65, 71, 67, 69], [72, 65, 69, 65, 67, 69, 62], [71, 60, 67, 62, 64, 69, 60, 69], [64, 67, 65, 64], [65, 72, 71, 64, 67], [71, 71, 67, 62, 71]]","[(1, 65), (2, 67), (3, 72), (4, 65), (5, 60), (9, 62), (11, 64), (2, 62), (3, 72), (6, 69), (7, 64), (10, 65), (1, 65), (3, 65), (4, 64), (5, 60), (7, 65), (8, 71), (9, 67), (10, 69), (1, 72), (2, 65), (3, 69), (6, 65), (7, 67), (9, 69), (11, 62), (2, 71), (3, 60), (4, 67), (5, 62), (8, 64), (9, 69), (10, 60), (11, 69), (1, 64), (3, 67), (5, 65), (8, 64), (1, 65), (2, 72), (3, 71), (6, 64), (9, 67), (1, 71), (3, 71), (6, 67), (8, 62), (11, 71)]",random_midis/random_song_0.mid
7,"[[1, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 10], [1, 2, 4, 5, 6, 7, 10], [2, 3, 4, 6, 7, 8, 9, 10, 11], [1, 2, 3, 4, 7, 8, 9], [1, 3, 4, 8, 9, 10], [3, 4, 8, 9], [3, 4, 6, 7, 8, 9, 10, 11]]","[[69, 65, 62, 71, 62, 69], [72, 64, 71, 64, 69, 64, 62, 64], [62, 60, 64, 64, 72, 69, 69], [62, 72, 71, 65, 67, 69, 62, 62, 71], [69, 65, 69, 69, 67, 65, 71], [67, 62, 64, 72, 72, 72], [69, 71, 71, 64], [71, 65, 69, 65, 60, 60, 67, 71]]","[(1, 69), (5, 65), (7, 62), (8, 71), (9, 62), (11, 69), (1, 72), (3, 64), (4, 71), (5, 64), (7, 69), (8, 64), (9, 62), (10, 64), (1, 62), (2, 60), (4, 64), (5, 64), (6, 72), (7, 69), (10, 69), (2, 62), (3, 72), (4, 71), (6, 65), (7, 67), (8, 69), (9, 62), (10, 62), (11, 71), (1, 69), (2, 65), (3, 69), (4, 69), (7, 67), (8, 65), (9, 71), (1, 67), (3, 62), (4, 64), (8, 72), (9, 72), (10, 72), (3, 69), (4, 71), (8, 71), (9, 64), (3, 71), (4, 65), (6, 69), (7, 65), (8, 60), (9, 60), (10, 67), (11, 71)]",random_midis/random_song_1.mid
7,"[[1, 2, 3, 4, 5], [2, 3, 5, 8, 9, 10], [1, 5, 8], [1, 2, 3, 5, 9, 10, 11], [2, 3, 4, 5, 6, 8, 10], [2, 4, 5, 9, 10], [2, 4, 6], [2, 3, 4, 5, 6, 8, 10]]","[[62, 69, 71, 64, 69], [69, 65, 71, 60, 72, 67], [64, 69, 62], [69, 62, 67, 69, 64, 65, 72], [67, 72, 71, 69, 71, 72, 65], [72, 62, 71, 60, 69], [62, 71, 67], [62, 71, 62, 67, 64, 64, 65]]","[(1, 62), (2, 69), (3, 71), (4, 64), (5, 69), (2, 69), (3, 65), (5, 71), (8, 60), (9, 72), (10, 67), (1, 64), (5, 69), (8, 62), (1, 69), (2, 62), (3, 67), (5, 69), (9, 64), (10, 65), (11, 72), (2, 67), (3, 72), (4, 71), (5, 69), (6, 71), (8, 72), (10, 65), (2, 72), (4, 62), (5, 71), (9, 60), (10, 69), (2, 62), (4, 71), (6, 67), (2, 62), (3, 71), (4, 62), (5, 67), (6, 64), (8, 64), (10, 65)]",random_midis/random_song_2.mid
7,"[[3, 8], [3, 4, 7, 8, 10, 11], [1, 2, 6, 7, 8, 9, 11], [1, 2, 4, 6, 8, 11], [1, 4, 6, 8], [1, 2, 8, 9], [1, 2, 3, 7], [2, 5, 9]]","[[72, 72], [71, 69, 67, 67, 64, 64], [62, 67, 60, 64, 64, 69, 67], [71, 69, 72, 65, 62, 69], [62, 60, 67, 64], [71, 69, 65, 64], [65, 67, 64, 60], [67, 67, 60]]","[(3, 72), (8, 72), (3, 71), (4, 69), (7, 67), (8, 67), (10, 64), (11, 64), (1, 62), (2, 67), (6, 60), (7, 64), (8, 64), (9, 69), (11, 67), (1, 71), (2, 69), (4, 72), (6, 65), (8, 62), (11, 69), (1, 62), (4, 60), (6, 67), (8, 64), (1, 71), (2, 69), (8, 65), (9, 64), (1, 65), (2, 67), (3, 64), (7, 60), (2, 67), (5, 67), (9, 60)]",random_midis/random_song_3.mid
7,"[[3, 5, 6, 8, 10], [1, 5, 6, 10, 11], [1, 2, 4, 6, 7], [1, 2, 3, 4, 7], [2, 4, 6], [2, 5, 6, 7, 8, 10], [1, 3, 5, 8, 9], [1, 2, 5, 8, 9]]","[[69, 69, 64, 71, 60], [72, 65, 71, 60, 62], [72, 64, 65, 65, 71], [72, 69, 60, 62, 64], [72, 67, 69], [71, 64, 65, 67, 62, 60], [72, 60, 71, 67, 72], [64, 60, 67, 60, 60]]","[(3, 69), (5, 69), (6, 64), (8, 71), (10, 60), (1, 72), (5, 65), (6, 71), (10, 60), (11, 62), (1, 72), (2, 64), (4, 65), (6, 65), (7, 71), (1, 72), (2, 69), (3, 60), (4, 62), (7, 64), (2, 72), (4, 67), (6, 69), (2, 71), (5, 64), (6, 65), (7, 67), (8, 62), (10, 60), (1, 72), (3, 60), (5, 71), (8, 67), (9, 72), (1, 64), (2, 60), (5, 67), (8, 60), (9, 60)]",random_midis/random_song_4.mid
7,"[[4, 8, 9, 11], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11], [1, 5, 6, 9, 10, 11], [2, 3, 5, 8, 11], [1, 3, 4, 7, 8, 9], [1, 2, 3, 4, 10], [4, 9, 10], [2, 3, 4, 5, 7, 9, 11]]","[[71, 71, 60, 64], [65, 69, 72, 71, 65, 67, 69, 71, 64, 72], [69, 60, 72, 60, 62, 60], [64, 62, 69, 62, 71], [67, 72, 62, 64, 72, 65], [65, 65, 67, 65, 60], [62, 72, 60], [64, 69, 71, 69, 60, 60, 65]]","[(4, 71), (8, 71), (9, 60), (11, 64), (2, 65), (3, 69), (4, 72), (5, 71), (6, 65), (7, 67), (8, 69), (9, 71), (10, 64), (11, 72), (1, 69), (5, 60), (6, 72), (9, 60), (10, 62), (11, 60), (2, 64), (3, 62), (5, 69), (8, 62), (11, 71), (1, 67), (3, 72), (4, 62), (7, 64), (8, 72), (9, 65), (1, 65), (2, 65), (3, 67), (4, 65), (10, 60), (4, 62), (9, 72), (10, 60), (2, 64), (3, 69), (4, 71), (5, 69), (7, 60), (9, 60), (11, 65)]",random_midis/random_song_5.mid
7,"[[1, 2, 3, 4, 6, 11], [1, 3, 6, 9, 11], [1, 6, 7, 8, 10], [1, 3, 5, 6, 8, 11], [1, 5, 6, 7, 9, 10], [1, 2, 3, 4, 7, 9], [1, 2, 3, 4, 6, 7, 9], [2, 3, 4, 11]]","[[71, 67, 64, 71, 65, 62], [67, 67, 72, 62, 67], [67, 64, 67, 60, 69], [69, 67, 67, 64, 65, 72], [69, 67, 71, 64, 64, 64], [65, 67, 69, 62, 71, 64], [67, 64, 64, 62, 65, 60, 64], [72, 71, 60, 64]]","[(1, 71), (2, 67), (3, 64), (4, 71), (6, 65), (11, 62), (1, 67), (3, 67), (6, 72), (9, 62), (11, 67), (1, 67), (6, 64), (7, 67), (8, 60), (10, 69), (1, 69), (3, 67), (5, 67), (6, 64), (8, 65), (11, 72), (1, 69), (5, 67), (6, 71), (7, 64), (9, 64), (10, 64), (1, 65), (2, 67), (3, 69), (4, 62), (7, 71), (9, 64), (1, 67), (2, 64), (3, 64), (4, 62), (6, 65), (7, 60), (9, 64), (2, 72), (3, 71), (4, 60), (11, 64)]",random_midis/random_song_6.mid
7,"[[1, 2, 3, 4, 5, 6, 9, 11], [3, 4, 5, 8], [2, 3, 5, 6, 7, 8, 9, 10, 11], [1, 3, 5, 6], [2, 4, 8, 10, 11], [4, 8, 9, 10, 11], [1, 2, 3, 7, 10, 11], [2, 6, 8, 9, 10, 11]]","[[67, 69, 60, 72, 72, 64, 72, 71], [71, 65, 64, 71], [72, 62, 64, 69, 62, 64, 72, 69, 60], [69, 72, 62, 67], [65, 69, 65, 69, 62], [65, 60, 64, 65, 60], [67, 65, 71, 64, 60, 71], [64, 67, 71, 60, 71, 69]]","[(1, 67), (2, 69), (3, 60), (4, 72), (5, 72), (6, 64), (9, 72), (11, 71), (3, 71), (4, 65), (5, 64), (8, 71), (2, 72), (3, 62), (5, 64), (6, 69), (7, 62), (8, 64), (9, 72), (10, 69), (11, 60), (1, 69), (3, 72), (5, 62), (6, 67), (2, 65), (4, 69), (8, 65), (10, 69), (11, 62), (4, 65), (8, 60), (9, 64), (10, 65), (11, 60), (1, 67), (2, 65), (3, 71), (7, 64), (10, 60), (11, 71), (2, 64), (6, 67), (8, 71), (9, 60), (10, 71), (11, 69)]",random_midis/random_song_7.mid
7,"[[1, 4, 5, 6, 8, 10], [2, 5, 7, 8, 10], [3, 7], [1, 2, 3], [2, 3, 7, 9, 10, 11], [1, 3, 5, 6, 7, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9], [1, 2, 3, 5, 6, 8, 9, 11]]","[[60, 67, 69, 62, 72, 62], [64, 72, 60, 60, 60], [67, 64], [67, 71, 62], [62, 64, 64, 64, 71, 62], [60, 71, 62, 60, 62, 60, 62], [67, 60, 60, 72, 64, 64, 64, 67], [67, 60, 67, 62, 65, 62, 67, 67]]","[(1, 60), (4, 67), (5, 69), (6, 62), (8, 72), (10, 62), (2, 64), (5, 72), (7, 60), (8, 60), (10, 60), (3, 67), (7, 64), (1, 67), (2, 71), (3, 62), (2, 62), (3, 64), (7, 64), (9, 64), (10, 71), (11, 62), (1, 60), (3, 71), (5, 62), (6, 60), (7, 62), (9, 60), (11, 62), (1, 67), (2, 60), (3, 60), (4, 72), (5, 64), (7, 64), (8, 64), (9, 67), (1, 67), (2, 60), (3, 67), (5, 62), (6, 65), (8, 62), (9, 67), (11, 67)]",random_midis/random_song_8.mid
7,"[[1, 4, 5, 8, 9, 11], [2, 3, 4, 5, 7, 11], [2, 7, 8], [2, 6, 8, 11], [1, 5, 6, 7, 9, 10], [3, 4, 10, 11], [5, 7, 8, 9, 11], [6, 8, 9, 10, 11]]","[[67, 71, 72, 62, 69, 65], [67, 62, 71, 72, 67, 71], [64, 67, 64], [69, 62, 62, 60], [65, 65, 65, 67, 69, 72], [62, 72, 60, 62], [60, 60, 64, 60, 60], [62, 67, 60, 62, 65]]","[(1, 67), (4, 71), (5, 72), (8, 62), (9, 69), (11, 65), (2, 67), (3, 62), (4, 71), (5, 72), (7, 67), (11, 71), (2, 64), (7, 67), (8, 64), (2, 69), (6, 62), (8, 62), (11, 60), (1, 65), (5, 65), (6, 65), (7, 67), (9, 69), (10, 72), (3, 62), (4, 72), (10, 60), (11, 62), (5, 60), (7, 60), (8, 64), (9, 60), (11, 60), (6, 62), (8, 67), (9, 60), (10, 62), (11, 65)]",random_midis/random_song_9.mid
