piece,beats,pitches
./abc/_Polonäs_sexdregasamlingen_del_2_nr_43_955a6b.abc,"[[1, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 5, 7, 9, 11], [1, 3, 4, 5], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 5], [1, 3, 5, 7, 9], [1, 3, 5, 7, 9], [1, 5, 7, 9, 11], [1, 3, 4, 5]]","[[74, 69, 67, 66, 64], [62, 79, 78, 76, 78, 76], [74, 69, 67, 66, 64], [62, 74, 73, 74], [78, 76, 74, 76, 78, 74], [79, 78, 76, 78, 79, 76], [78, 76, 74, 81, 79, 78], [76, 69], [78, 76, 74, 73, 71], [79, 78, 76, 74, 73], [74, 69, 67, 66, 64], [62, 74, 73, 74]]"
./abc/Pollonesse_ur_Andreas_Dahlgrens_notbok_no_10_d81ffb.abc,"[[1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5], [1, 1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5], [1, 1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 3, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 2, 3, 4, 5, 9]]","[[67, 79, 79, 78, 79, 76], [76, 78, 79, 76, 74], [74, 71, 69, 71, 72, 71, 69, 67], [66, 67, 66, 64, 62, 62, 62, 60, 59, 60, 59, 57], [55, 79, 79, 78, 79, 76], [76, 78, 79, 76, 74], [72, 71, 74, 76, 78, 79, 74], [71, 69, 67, 66, 67, 55], [67, 71, 71, 69, 69], [69, 71, 72, 69, 71, 72, 71], [67, 71, 72, 74, 71, 72], [72, 74, 76, 72, 74, 76, 74], [74, 76, 78, 79, 78, 79, 81, 72], [71, 69, 67, 66, 67, 55]]"
./abc/Polska_efter_Anders_Gustaf_Andersson_0ac736.abc,"[[1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 1, 1, 3, 5, 7, 9, 11], [1, 3, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 7, 7, 8, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 7, 7, 8, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9]]","[[81, 76, 77, 76, 77, 79], [81, 77, 81, 79, 76], [77, 79, 77, 76, 74, 73, 74, 76], [77, 76, 72, 74, 72, 71, 69], [69, 62, 65, 69, 72, 71], [67, 64, 67, 65, 67, 65, 62, 65, 64, 64], [69, 62, 65, 69, 72, 71], [67, 64, 67, 65, 67, 65, 62, 65, 64, 64], [62, 64, 66, 67, 69, 71, 73, 74, 76, 78], [79, 78, 76, 74, 73, 76, 72, 74]]"
./abc/Polonäs_9c99ae.abc,"[[1, 2, 3, 4, 5, 7, 9, 10, 11, 12], [1, 4, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 2, 3, 4, 5, 8, 9, 10, 11, 12], [1, 4, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 8, 9, 10, 11, 12], [1, 4, 5, 6, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9]]","[[74, 72, 70, 69, 67, 62, 60, 58, 57, 55], [67, 69, 70, 69, 70, 72, 74], [70, 72, 69, 70, 67, 74], [75, 74, 72, 70, 70, 69], [74, 72, 70, 69, 67, 62, 60, 58, 57, 55], [67, 69, 70, 69, 70, 72, 74], [70, 72, 69, 70, 67, 70], [69, 67, 66, 67, 55], [74, 74, 75, 77, 74, 70, 65], [70, 70, 74, 72, 72, 75, 74], [70, 79, 69, 77, 67, 70], [70, 69, 67, 66, 67, 69, 65, 62], [74, 72, 70, 69, 67, 62, 60, 58, 57, 55], [67, 69, 70, 69, 70, 72, 74], [70, 72, 69, 70, 67, 70], [69, 67, 66, 67, 55]]"
./abc/_Polonäs_sexdregasamlingen_del_2_nr_76_509d55.abc,"[[1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5], [1, 3, 4, 5, 9], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9]]","[[79, 78, 76, 74, 72, 71], [67, 67, 71, 69, 69, 72, 71], [67, 67, 71, 69, 69, 72, 71], [79, 78, 76, 74, 76, 74, 72, 71, 72, 71, 69, 67], [66, 66, 67, 69, 62], [79, 78, 76, 74, 74, 72, 71], [67, 67, 71, 69, 69, 72, 71], [67, 67, 71, 69, 69, 72, 71], [79, 78, 76, 74, 76, 74, 72, 71, 72, 71, 69, 67], [66, 67, 69, 66, 67, 67], [67, 67, 71, 69, 69, 72, 71, 71, 74], [72, 71, 72, 69, 67, 69, 71], [67, 67, 71, 69, 69, 72, 71, 71, 74], [72, 71, 69, 71], [74, 72, 71, 76, 76], [72, 71, 69, 74, 74], [71, 69, 67, 72, 71, 69, 67], [66, 67, 69, 66, 67, 55]]"
./abc/Pollonesse_183209_d6a6be.abc,"[[1, 3, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9, 11], [1, 3, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 5, 6, 7, 8, 9, 11], [1, 2, 3, 4, 5, 9]]","[[69, 74, 74, 69, 66, 69, 74, 73, 74, 78], [76, 74, 74, 73, 71, 73, 76, 74, 76, 78], [79, 78, 83, 81, 79, 78, 76, 74, 73, 74, 76, 78], [79, 76, 73, 76, 74, 73, 74, 69, 67, 66, 64, 66], [81, 79, 76, 73, 73, 74, 69], [81, 81, 78, 74, 78, 81, 79, 83, 81], [81, 79, 76, 73, 69, 73, 76, 79, 79, 78, 81, 79], [79, 78, 74, 78, 78, 76, 73, 76, 76, 74, 71, 74], [74, 73, 69, 71, 67, 71, 69, 69], [81, 79, 76, 73, 73, 74]]"
./abc/Mikaelidansen_a7e723.abc,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9, 12], [1, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9], [1, 3, 5, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 9], [1, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 3, 5]]","[[76, 77, 76, 74, 72, 71, 72, 71, 69, 69, 72], [71, 69, 71, 69, 68, 69, 69, 64], [69, 71, 72, 71, 72, 74, 76, 76, 78], [79, 78, 79, 76, 75, 76, 76], [69, 81, 81, 81, 80, 81, 81], [78, 77, 79, 77, 79, 77, 76, 74], [74, 76, 78, 79, 79], [76, 77, 76, 72, 69, 71], [72, 71, 72, 74, 76, 76, 74, 72, 71, 72, 69], [68, 69, 69]]"
./abc/_Polonäs_sexdregasamlingen_del_2_nr_66_67364b.abc,"[[1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 9, 11, 12], [1, 2, 3, 4, 5, 9]]","[[74, 76, 78, 79, 81, 81, 83, 79, 79, 81], [78, 78, 79, 76, 74, 73, 71, 69], [71, 73, 71, 69, 67, 66, 64, 74], [73, 71, 69, 74, 62], [66, 67, 71, 69], [67, 66, 64, 66, 64, 62, 69], [66, 67, 71, 69], [67, 66, 64, 66, 64, 62, 69], [69, 71, 73, 74, 76, 79, 78, 76, 74], [69, 71, 73, 69, 74, 62]]"
./abc/Pollonesse_ur_Andreas_Dahlgrens_notbok_nr_25_0b522c.abc,"[[1, 5, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 5, 8, 9, 10, 11, 12], [1, 5, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9]]","[[70, 69, 67], [62, 65, 67, 69, 72, 69, 70, 67], [67, 75, 74, 72, 70, 69, 67], [70, 69, 67, 66, 67, 55], [74, 70, 67, 70, 74, 70, 67, 70, 74, 70, 67, 70], [72, 72, 70, 72, 72, 70, 72], [72, 69, 65, 69, 72, 69, 65, 69, 72, 69, 65, 69], [70, 70, 69, 70, 70, 69, 70], [74, 79, 77, 75, 74, 72, 70], [69, 77, 75, 74, 72, 70, 69], [74, 79, 77, 79, 70, 69, 67], [70, 69, 67, 66, 67, 55]]"
./abc/_Polonäs_ur_Andreas_Dahlgrens_notbok_nr_65_fe43f3.abc,"[[1, 3, 5, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 9, 11], [1, 3, 5], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 5, 9], [1, 2, 3, 5, 6, 7, 9, 10, 11], [1, 5]]","[[74, 76, 77, 76, 74], [73, 74, 76, 74, 72, 69], [74, 76, 77, 76, 74], [73, 74, 76], [77, 79, 81, 79, 81, 76], [76, 77, 76, 74, 76, 74, 73], [74, 76, 76, 77, 76, 74], [73, 71, 69, 70, 69, 68, 69], [69, 77, 76, 74, 73, 71], [69, 68, 69, 79], [79, 77, 76, 77, 76, 74, 76, 74, 73], [74, 62]]"
./abc/_Polonäs_ur_Andreas_Dahlgrens_notbok_nr_27_c36f91.abc,"[[1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9], [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9]]","[[69, 74, 73, 74, 74, 74, 74], [73, 74, 76, 73, 71, 69], [67, 83, 81, 79, 78, 76, 74, 73, 71, 69, 67], [66, 74, 64, 73, 74, 62], [81, 81, 79, 78, 78, 76, 74, 74, 73], [71, 71, 69, 67, 67, 66, 64, 76, 78], [79, 79, 78, 76, 76, 74, 73, 73, 71], [69, 69, 67, 67, 66], [62, 79, 78, 79, 76, 73, 69], [69, 78, 79, 81, 76, 73, 69], [67, 83, 81, 79, 78, 76, 74, 73, 71, 69, 67], [66, 74, 64, 73, 74, 62]]"
./abc/Polonesse_in_G_Dur_no_2_ur_Anders_Larssons_notbok_34cc1a.abc,"[[1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 9], [1, 3, 4, 5], [1, 5, 7, 9, 11], [1, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 9]]","[[67, 67, 69, 71, 67, 71, 67], [71, 71, 72, 74, 71, 74, 71], [74, 76, 78, 79, 71], [69, 67, 66, 67], [71, 69, 69, 69, 69], [71, 69, 69, 69, 69], [71, 69, 71, 72, 71, 69, 74, 72, 71], [69, 67, 66, 67, 55]]"
./abc/Polonäs_efter_Pehr_Andersson_Bild_04_nr_09_cbaefc.abc,"[[1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [1, 2, 3, 4, 5, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 9]]","[[67, 67, 69, 71, 71, 72, 74, 76, 78], [79, 78, 76, 74, 76, 74, 72], [72, 76, 72, 69, 71, 74, 71, 67, 69, 72], [71, 69, 67, 66, 67, 55], [79, 83, 79, 76, 79, 83, 79, 76, 79, 83, 79, 76], [78, 81, 78, 74, 78, 81, 78, 74, 78, 81, 78, 74], [74, 76, 78, 79, 78, 76, 74], [78, 76, 74, 72, 74, 62]]"
./abc/Polonäs_i_Dm_efter_Daniel_Danielsson_07e0c3.abc,"[[1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9, 11], [1, 3, 5, 9], [1], [1, 3, 4, 5, 9, 11], [1, 3, 4, 5, 9, 12], [1, 3, 4, 5, 9, 11], [1, 3, 4, 5], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9]]","[[81, 79, 81, 77, 76, 77, 74, 73, 74], [69, 67, 69, 65, 64, 65, 62], [57, 60, 60, 62, 62, 64], [62, 65, 65, 64, 64, 62], [81, 79, 81, 77, 76, 77, 74, 72, 74], [69, 67, 69, 65, 64, 65, 62], [57, 60, 60, 62, 62, 64], [65, 64, 64, 62], [77], [76, 77, 79, 81, 81, 77], [76, 79, 76, 77, 73, 77], [76, 77, 79, 81, 77, 74], [72, 76, 72, 69], [81, 79, 81, 77, 76, 77, 74, 72, 74], [69, 67, 69, 65, 64, 65, 62]]"
./abc/Pollonesse_183208_7b42e6.abc,"[[1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 9], [1, 3, 4, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 9]]","[[62, 66, 69, 74, 78, 81], [81, 78, 79, 76, 78, 81], [62, 66, 69, 74, 76, 79], [78, 81, 76, 76], [78, 76, 78, 79, 78, 76, 74], [73, 71, 69, 67, 66, 62], [78, 76, 78, 79, 78, 76, 74], [73, 71, 69, 67, 66, 62], [62, 66, 69, 74, 76, 79], [78, 76, 73, 74, 62]]"
./abc/Polonäs_i_Gm_efter_Baumgarten_e55a9b.abc,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 9], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9], [1, 3, 5, 7, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 5, 7, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 9], [1, 3, 4, 5, 9], [1, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 9]]","[[67, 69, 70, 72, 74, 76, 78, 81, 79, 77, 75, 74], [78, 79, 81, 79, 77, 74, 77, 81, 79, 77, 76, 74], [79, 82, 79, 74, 70], [74, 77, 74, 72, 69], [74, 74, 75, 72, 72, 74, 70, 69, 70, 74], [70, 69, 67, 66, 65, 67, 67], [70, 58, 58, 70, 70, 74, 70, 65], [62, 65, 69, 72, 72, 75, 72, 69, 70, 74, 70, 65], [70, 58, 58, 70, 70, 74, 70, 65], [62, 65, 69, 72, 72, 75, 72, 69, 70, 69], [67, 69, 70, 72, 74, 76, 78, 81, 79, 77, 75, 74], [78, 79, 81, 79, 77, 74, 77, 81, 79, 77, 76, 74], [79, 82, 79, 74, 70], [74, 77, 74, 72, 69], [74, 74, 75, 72, 72, 74, 70, 69, 70, 74], [70, 69, 67, 66, 65, 67, 67]]"
